EntrezGeneSymbol1	EntrezGeneSymbol2	score
CXCL8	BMPR1A	0.6902
CHEK2	HIPK3	0.6857
CRLF2	FLRT1	0.6429
HDAC8	PRKCQ	0.6141
MMEL1	TLR2	0.6105
TNFRSF1B	NRXN1	0.6006
FYN	GREM1	0.5925
CAMK1D	ADSL	0.5805
TACSTD2	HPGD	0.5740
CXCL6	TNFRSF13C	0.5698
TNFRSF13B	SH2D1A	0.5475
DYNLRB1	UBE2L3	0.5454
IL27 EBI3	GPC5	0.5407
ROBO3	IMPDH2	0.5239
EHMT2	VEGFA	0.5145
CSF3R	CCL4L1	0.4867
CXCL3 CXCL2	LCMT1	0.4838
CLEC11A	CLEC11A	0.4827
GDF9	HIBADH	0.4759
CCL23	CCL23	0.4747
CMPK1	CD200	0.4719
LTF	ALPL	0.4677
IFNG	IL34	0.4671
MASP1	CCL11	0.4669
F9	F9	0.4668
PTHLH	SNRPF	0.4639
IL1B	PPIB	0.4558
NOV	CRTAM	0.4530
BMP7	DDR1	0.4529
MMP12	WNT7A	0.4503
MAPK1	CDC37	0.4493
NR3C1	TBK1	0.4484
CGA LHB	CGA FSHB	0.4459
FN1	FN1	0.4413
KLRF1	IL27RA	0.4309
CD22	MAPKAPK5	0.4288
ANGPTL3	SORCS2	0.4237
TNFSF9	PLK1	0.4213
LAYN	COMMD7	0.4176
HMGCR	PRKCG	0.4136
DIABLO	IFNL2	0.4102
CNTFR	MMP17	0.4064
IL15RA	CDNF	0.4057
CST4	EPHA10	0.4055
PON1	CSF3	0.4051
FGFR2	FUT3	0.4000
IL10RB	CA10	0.3990
IL2RG	IL15RA	0.3977
PLG	PLG	0.3940
BCAN	TGFBR2	0.3940
HGF	PIK3CA PIK3R1	0.3934
HRG	MAP2K4	0.3932
CKM	CKB CKM	0.3912
F10	F10	0.3905
KREMEN2	CTSV	0.3895
CDKN1B	CBX5	0.3886
IL22RA1	IL3	0.3877
IL18RAP	CRK	0.3870
PAFAH1B2	JAM3	0.3857
ACVRL1	CDK8 CCNC	0.3852
DYRK3	MAPK11	0.3848
CSNK2A1	BIRC7	0.3846
PRKCD	IL17D	0.3839
CST4	MSN	0.3838
LTA LTB	CHST6	0.3824
FGF9	SCT	0.3817
ADCYAP1	IL6	0.3782
GFAP	MAP3K7 TAB1	0.3777
PYY	IL12B IL23A	0.3754
HAPLN1	MDM2	0.3737
PRSS1	PRSS2	0.3737
C3	C3	0.3730
FGA FGB FGG	FGG	0.3729
KLK4	PARK7	0.3728
EPHA3	TNFRSF11A	0.3683
TSLP	IL17RD	0.3679
ERBB2	LMNB1	0.3671
CDK8 CCNC	PIK3CG	0.3647
ARTN	TNFSF13B	0.3615
IL2	OLFM4	0.3570
IL4R	DNAJB1	0.3540
EPHA5	C3	0.3527
ITIH4	JAK2	0.3499
PAFAH1B2	EEF1B2	0.3499
DSG2	TNFRSF25	0.3499
FGF8	MST1R	0.3491
NR3C1	HCK	0.3482
IL18RAP	INHBA INHBB	0.3471
EFNA4	PRLR	0.3463
CA4	AURKB	0.3448
BCAM	ESM1	0.3443
IL23R	KLRF1	0.3437
IL22	KRT18	0.3432
BCAM	POMC	0.3432
IL10RB	COL8A1	0.3430
MDK	AMICA1	0.3427
FGFR1	ANGPTL3	0.3422
IL17RA	IL17A	0.3412
GPC3	GSTA3	0.3409
ANGPT4	DDC	0.3402
IBSP	SERPINA1	0.3386
TNFSF18	PRKAA1 PRKAB1  PRKAG1	0.3377
KLK11	YES1	0.3372
