GeneID	GeneID2	Score
NMNAT1	RBP7	0.00968523
CTRC	CELA2A	0.177966102
EPHA2	EPHA4	0.904358354
EPHA2	EPHA4	0.935835351
EPHA2	EPHA4	0.360774818
AKR7A3	AKR7A2	0.888619855
AKR7A2	AKR7A3	0.888619855
HSPG2	VWA1	0.342615012
CELA3B	CELA2A	0.251815981
CLIC4	CLIC5	0.518159806
PCSK9	APOB	0.909200969
PCSK9	APOB	0.388619855
AMY2B	AMY1A	0.783292978
AMY2A	AMY1A	0.783292978
AMY2A	AMY2B	0.783292978
AMY1A	AMY2B	0.783292978
AMY2B	AMY2A	0.783292978
AMY1A	AMY2A	0.783292978
NTNG1	FLRT3	0.003631961
SORT1	TP53	0.904358354
SORT1	APOB	0.785714286
SORT1	GRN	0.400726392
GSTM4	GSTM3	0.608958838
GSTM4	GSTM1	0.607748184
GSTM1	GSTM4	0.607748184
GSTM3	GSTM4	0.608958838
GSTM1	GSTM3	0.618644068
GSTM3	GSTM1	0.618644068
HFE2	NEO1	0.452784504
HFE2	NEO1	0.911622276
CTSK	CTSS	0.16464891
EFNA3	EFNA4	0.904358354
EFNA3	EFNA4	0.909200969
EFNA4	EFNA3	0.904358354
EFNA4	EFNA3	0.909200969
CD244	CD48	0.917675545
CD244	CD48	0.916464891
FCGR2A	FCGR3B	0.024213075
FCGR2A	FCGR3A	0.920096852
FCGR2A	FCGR3A	0.024213075
FCGR3A	FCGR3B	0.904358354
FCGR3B	FCGR3A	0.904358354
FCGR3B	CD109	0.906779661
FCGR2B	LILRA5	0.791767554
FCGR3B	LILRA5	0.792978208
XCL1	XCL2	0.904358354
F5	SEC13	0.904358354
SELE	SELP	0.112590799
SELL	SELP	0.233656174
SELP	SELL	0.233656174
SELE	SELL	0.331719128
SELP	SELE	0.112590799
SELL	SELE	0.331719128
FASLG	SMPD1	0.904358354
TNR	BCAN	0.92251816
ABL2	EPHA2	0.003631961
ABL2	EPHB4	0.03874092
ABL2	EPHB2	0.046004843
ABL2	EPHA4	0.03874092
QSOX1	CNN2	0.905569007
LAMC2	NTN4	0.042372881
NCF2	NCF1	0.904358354
NCF2	NCF1	0.95157385
CFHR3	CFH	0.904358354
CFH	CFB	0.906779661
CFH	CFB	0.788135593
CFHR3	CFB	0.904358354
CFHR1	C3	0.904358354
CFHR3	C3	0.904358354
CFH	C3	0.906779661
CFH	C3	0.789346247
CFHR4	C3	0.904358354
CFH	ADM	0.330508475
CFH	CFHR3	0.904358354
CFHR1	PTX3	0.300242131
CFH	IFNG	0.300242131
CFH	LYPD1	0.300242131
CFH	TXN	0.300242131
CFHR5	C3	0.904358354
CFHR2	C3	0.300242131
CHI3L1	CHIT1	0.904358354
CHIT1	CHI3L1	0.904358354
PRELP	FMOD	0.916464891
PRELP	KERA	0.914043584
FMOD	KERA	0.923728814
MAPKAPK2	MAPK14	1
MAPKAPK2	MAPK14	0.963680387
MAPKAPK2	MAPK14	0.976997579
MAPKAPK2	MAPK14	0.904358354
MAPKAPK2	MAPK14	0.453995157
IL10	MAPK14	0.342615012
C4BPB	C4BPA	0.910411622
C4BPB	C4BPA	0.911622276
C4BPB	C4BPA	0.904358354
C4BPA	CR2	0.007263923
C4BPA	CR1	0.05811138
C4BPA	CR1	0.024213075
CD46	CR1	0.904358354
NID1	MMP9	0.904358354
IDI1	IDI2	0.783292978
IDI2	IDI1	0.783292978
IL2RA	IL2RB	0.920096852
IL2RA	IL2RB	0.904358354
ITIH2	ITIH1	0.100484262
